distributions,labels,resnet_wmape,pointnet_wmape,random_wmape
all_dist,hotspots_16_min_val,0.20446685481503507,0.1225387561881635,0.8068334151120514
all_dist,hotspots_16_min_x,0.24682291853497748,0.12410745813898856,0.5996620616588322
all_dist,hotspots_16_min_y,0.3258034152609251,0.15733272776554522,0.6923580419713908
all_dist,hotspots_16_max_val,0.04694566876306986,0.036374562413002645,0.31072909074629407
all_dist,hotspots_16_max_x,0.2497059580876316,0.17670533058141974,0.7320574029454707
all_dist,hotspots_16_max_y,0.18520468128251893,0.1395736908884479,0.7060999978930872
all_dist,hotspots_32_min_val,0.20679039275471658,0.12785119469408723,0.7995845976422515
all_dist,hotspots_32_min_x,0.2483788676635506,0.12656627069682375,0.583649322091045
all_dist,hotspots_32_min_y,0.3239356610315355,0.17470746920392388,0.7080094484018792
all_dist,hotspots_32_max_val,0.04547457739434466,0.031912424752327556,0.31621812327572546
all_dist,hotspots_32_max_x,0.25340953010821965,0.17449380373147555,0.7573710276637372
all_dist,hotspots_32_max_y,0.16680241279271613,0.13397694382962605,0.6871466125911575
all_dist,hotspots_64_min_val,0.21230217175508462,0.12656991977543955,0.789888752382515
all_dist,hotspots_64_min_x,0.25100172113717967,0.12629609121485336,0.5966972305105454
all_dist,hotspots_64_min_y,0.3193695947061751,0.17906051234348458,0.6729127749840289
all_dist,hotspots_64_max_val,0.04469328517803292,0.039815760167122016,0.3173124307618279
all_dist,hotspots_64_max_x,0.24898945493120248,0.1714298938737748,0.7724437976519883
all_dist,hotspots_64_max_y,0.15718462194318758,0.15115058651707547,0.6916823398210752
all_dist,k_values_0.025,1.8827797262066965,0.9068115402583912,15.725150216776354
all_dist,k_values_0.05,0.5554884586435581,0.6008472917159385,5.495735885500188
all_dist,k_values_0.1,0.36007861293033216,0.4965673635482914,1.6538140450247745
all_dist,k_values_0.25,0.34094483588213076,0.15287263274515075,0.609321874763268
all_dist,box_counts_e0,0.02742557889166259,0.053676423999573,0.22337308511432516
all_dist,box_counts_e2,0.10644327562902972,0.1975120903748844,0.28326085890164054
