distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
bit,hotspots_16_min_val,0.22320196013499358,0.07555218624209575,1.036575986513569,,
bit,hotspots_16_min_x,0.2981858603005458,0.06950305750631912,0.5880735234889622,,
bit,hotspots_16_min_y,0.35722525897145985,0.09194505958033651,0.6842651457849909,,
bit,hotspots_16_max_val,0.08916795091711187,0.030386925561443724,0.29966348197818554,,
bit,hotspots_16_max_x,0.3039005321139074,0.10009740754827855,0.7602225903911697,,
bit,hotspots_16_max_y,0.3576087152349143,0.09634315791596898,0.814045071642474,,
bit,hotspots_32_min_val,0.2159346649344862,0.07271806976375886,0.9692201303417695,,
bit,hotspots_32_min_x,0.29826461281040023,0.06890691835812424,0.6445238634532573,,
bit,hotspots_32_min_y,0.35676881043950665,0.08334798067751342,0.576378461501619,,
bit,hotspots_32_max_val,0.08460816125790231,0.03172525781459493,0.3126676807211772,,
bit,hotspots_32_max_x,0.3147928036349127,0.11076561624271933,0.7893592916978688,,
bit,hotspots_32_max_y,0.3535861477763918,0.09350826495929854,0.7605576609306464,,
bit,hotspots_64_min_val,0.20587433614271847,0.07389897045104031,0.885886844525957,,
bit,hotspots_64_min_x,0.30248237444781717,0.06958228413807409,0.6626029574259376,,
bit,hotspots_64_min_y,0.3550174991288196,0.08797739165167129,0.6911041475500642,,
bit,hotspots_64_max_val,0.07783039169601232,0.03782829074676745,0.33379094508883633,,
bit,hotspots_64_max_x,0.31518039347110444,0.11046455405395135,0.8017046052561652,,
bit,hotspots_64_max_y,0.35860374724574434,0.09336187840219512,0.7650586630472261,,
bit,k_values_0.025,1.451868881837248,0.552098233810935,11.752251915877821,,
bit,k_values_0.05,0.672458584018049,0.6286430648461386,5.918980445389202,,
bit,k_values_0.1,0.31418569921215633,0.6695998890384675,2.119869781316471,,
bit,k_values_0.25,0.18417526038595378,0.3937927038048227,0.6081512976563501,,
bit,box_counts_e0,0.07896328051646434,0.12994789174417432,0.16722220468479562,,
bit,box_counts_e2,0.2799267802426188,0.6230566524763077,0.3156631698690942,,
