distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
gaussian_large,hotspots_16_min_val,0.08518694217021491,0.08291766919466535,0.8228822828958651,,
gaussian_large,hotspots_16_min_x,0.15972386019354362,0.10599311022242279,0.7938113712799569,,
gaussian_large,hotspots_16_min_y,0.1168943852938637,0.07430781026431914,0.6676777449900233,,
gaussian_large,hotspots_16_max_val,0.037284895055795346,0.03333024132590104,0.30177259614348667,,
gaussian_large,hotspots_16_max_x,0.10878877307285931,0.08542650798163329,0.6838247922477082,,
gaussian_large,hotspots_16_max_y,0.13963942029858198,0.09074655177042318,0.8344800164283209,,
gaussian_large,hotspots_32_min_val,0.07642523050722098,0.072760453922362,0.8229772132340539,,
gaussian_large,hotspots_32_min_x,0.15103975030884406,0.0941980227732891,0.694758101057564,,
gaussian_large,hotspots_32_min_y,0.11063048390188489,0.08078104836376572,0.602177541628748,,
gaussian_large,hotspots_32_max_val,0.03388722389297969,0.03015768927890418,0.31331521517042343,,
gaussian_large,hotspots_32_max_x,0.10637385464501858,0.0736750390324921,0.6703269095647066,,
gaussian_large,hotspots_32_max_y,0.13573597050392133,0.09502187930195226,0.7277063209144061,,
gaussian_large,hotspots_64_min_val,0.07190666897292393,0.06515541484367231,0.733945935989473,,
gaussian_large,hotspots_64_min_x,0.14712991269064807,0.0971759225248943,0.6818278055680437,,
gaussian_large,hotspots_64_min_y,0.10926410876841018,0.075973623703532,0.5557739373092229,,
gaussian_large,hotspots_64_max_val,0.03267585779693016,0.033852465080371916,0.3226252733153511,,
gaussian_large,hotspots_64_max_x,0.0970197582158801,0.07608569529867969,0.7002672525774941,,
gaussian_large,hotspots_64_max_y,0.1372856909671221,0.09408985635838892,0.6566782280081169,,
gaussian_large,k_values_0.025,9.228998250778575,0.9853640806047478,31.536596731414708,,
gaussian_large,k_values_0.05,2.116112179147657,0.2995878458919575,6.554413357710822,,
gaussian_large,k_values_0.1,0.11462164082433543,0.17278244679900093,1.6431917244331757,,
gaussian_large,k_values_0.25,0.5296883264619111,0.09646615114900922,0.47665454530771273,,
gaussian_large,box_counts_e0,0.013208567373558766,0.013670433776881555,0.22241795562592215,,
gaussian_large,box_counts_e2,0.07149448557247164,0.054767412112841904,0.19509142799868745,,
