distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
uniform_large,hotspots_16_min_val,0.10221143225297981,0.10308266529474551,1.2324380643738642,,
uniform_large,hotspots_16_min_x,0.1096326943498496,0.07148582550851597,0.5761753316123464,,
uniform_large,hotspots_16_min_y,0.10980093245849121,0.08888310309342688,0.6490747083178268,,
uniform_large,hotspots_16_max_val,0.029488964300100243,0.03148000114400456,0.328434958131681,,
uniform_large,hotspots_16_max_x,0.1118793971959864,0.083735833854083,0.849358426353508,,
uniform_large,hotspots_16_max_y,0.11922114280269938,0.08991188311486777,0.7479206666516021,,
uniform_large,hotspots_32_min_val,0.10195480608474705,0.09358291368430019,1.3162276438201312,,
uniform_large,hotspots_32_min_x,0.11022934994590729,0.07229747797493229,0.5924790232088465,,
uniform_large,hotspots_32_min_y,0.10982008923450673,0.08577238977474383,0.6847863021454218,,
uniform_large,hotspots_32_max_val,0.02916497791706728,0.027736123925634414,0.37992211064309117,,
uniform_large,hotspots_32_max_x,0.1116954984711364,0.08215067237239015,0.9241010199055315,,
uniform_large,hotspots_32_max_y,0.11962061388633961,0.09468322623426279,0.7290944215191258,,
uniform_large,hotspots_64_min_val,0.10150965223145869,0.08709735883585784,1.192067162399311,,
uniform_large,hotspots_64_min_x,0.10914517425562703,0.07094248885679336,0.620326280846906,,
uniform_large,hotspots_64_min_y,0.11024884471159513,0.08589221143245081,0.6972134375795308,,
uniform_large,hotspots_64_max_val,0.02860812702916578,0.029508653182883465,0.3320434207139854,,
uniform_large,hotspots_64_max_x,0.11246035402055685,0.07933147810881323,0.902971470807052,,
uniform_large,hotspots_64_max_y,0.11884454479480112,0.08918032159333845,0.6783050287987586,,
uniform_large,k_values_0.025,12.231210655271614,2.22127643364537,188.7248850893338,,
uniform_large,k_values_0.05,0.9154926288228963,0.7311801490430636,44.10944533819823,,
uniform_large,k_values_0.1,0.5885389430829281,0.15356242844522563,11.510759438686389,,
uniform_large,k_values_0.25,0.1517706668316888,0.03631841253209847,1.7759969015157466,,
uniform_large,box_counts_e0,0.011304218977664576,0.026596078391882633,0.2378940976266308,,
uniform_large,box_counts_e2,0.025226953160949576,0.03723223054325204,0.24893559874995574,,
