distributions,labels,resnet_time,pointnet_time,ref_time
all_dist,hotspots_16_min_val,0.05003316716686714,0.17080931631699334,0.5954919335570901
all_dist,hotspots_16_min_x,0.05003316716686714,0.17080931631699334,0.5954919335570901
all_dist,hotspots_16_min_y,0.05003316716686714,0.17080931631699334,0.5954919335570901
all_dist,hotspots_16_max_val,0.05003316716686714,0.17080931631699334,0.5954919335570901
all_dist,hotspots_16_max_x,0.05003316716686714,0.17080931631699334,0.5954919335570901
all_dist,hotspots_16_max_y,0.05003316716686714,0.17080931631699334,0.5954919335570901
all_dist,hotspots_32_min_val,0.050030403173034456,0.17132962654750244,0.6902625355913986
all_dist,hotspots_32_min_x,0.050030403173034456,0.17132962654750244,0.6902625355913986
all_dist,hotspots_32_min_y,0.050030403173034456,0.17132962654750244,0.6902625355913986
all_dist,hotspots_32_max_val,0.050030403173034456,0.17132962654750244,0.6902625355913986
all_dist,hotspots_32_max_x,0.050030403173034456,0.17132962654750244,0.6902625355913986
all_dist,hotspots_32_max_y,0.050030403173034456,0.17132962654750244,0.6902625355913986
all_dist,hotspots_64_min_val,0.050033173251631945,0.16900272192829988,0.8791933158322185
all_dist,hotspots_64_min_x,0.050033173251631945,0.16900272192829988,0.8791933158322185
all_dist,hotspots_64_min_y,0.050033173251631945,0.16900272192829988,0.8791933158322185
all_dist,hotspots_64_max_val,0.050033173251631945,0.16900272192829988,0.8791933158322185
all_dist,hotspots_64_max_x,0.050033173251631945,0.16900272192829988,0.8791933158322185
all_dist,hotspots_64_max_y,0.050033173251631945,0.16900272192829988,0.8791933158322185
all_dist,k_values_0.025,0.05003485108523891,0.17263374391746253,0.8495735628982337
all_dist,k_values_0.05,0.050030403173034456,0.17132962654750244,1.5416035902528604
all_dist,k_values_0.1,0.050033173251631945,0.16900272192829988,2.8080652387917944
all_dist,k_values_0.25,0.050031483248495386,0.16898488871652406,5.260144595599118
all_dist,box_counts_e0,0.05003247768960017,0.17048774527744726,1.2010599626501017
all_dist,box_counts_e2,0.05003247768960017,0.17048774527744726,1.2010599626501017
