distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
uniform,hotspots_16_min_val,0.07886121212635808,0.0667361444557741,1.0884099931461162,,
uniform,hotspots_16_min_x,0.10768791363998322,0.07557072998126337,0.6834452500425299,,
uniform,hotspots_16_min_y,0.09128275469458637,0.08462917019209788,0.6851506908491164,,
uniform,hotspots_16_max_val,0.026939571094830972,0.030317820105995093,0.31269872273220944,,
uniform,hotspots_16_max_x,0.11826718336043239,0.08888648772458985,0.7725236601193702,,
uniform,hotspots_16_max_y,0.11320177691705001,0.08355306722969416,0.8484671428368181,,
uniform,hotspots_32_min_val,0.07912078251685482,0.06849145087341689,0.9809300490933478,,
uniform,hotspots_32_min_x,0.10770644475622444,0.07511221330050834,0.5636822041374271,,
uniform,hotspots_32_min_y,0.09044197869520296,0.07967069762738678,0.7016529978719639,,
uniform,hotspots_32_max_val,0.026506033927806996,0.025968935423433703,0.2947911300535331,,
uniform,hotspots_32_max_x,0.12145587616503836,0.08800937134744112,0.7698133005500454,,
uniform,hotspots_32_max_y,0.11266331389037439,0.08397045767458934,0.6776174356044925,,
uniform,hotspots_64_min_val,0.07936180760169387,0.06719547812387044,0.9849802951394169,,
uniform,hotspots_64_min_x,0.10688209578595569,0.07658390368925791,0.5772017738573201,,
uniform,hotspots_64_min_y,0.08994943293287072,0.07973623505206154,0.6551684532759777,,
uniform,hotspots_64_max_val,0.025795611707122804,0.024801920445331166,0.38392914626673563,,
uniform,hotspots_64_max_x,0.11752841395814159,0.07987247486857314,0.9160348052302355,,
uniform,hotspots_64_max_y,0.11199141387053171,0.07458115907379917,0.7880028567654187,,
uniform,k_values_0.025,12.601605883568656,2.356457376599958,172.44205033874135,,
uniform,k_values_0.05,1.088395596086361,0.8433689661301328,52.69891476512983,,
uniform,k_values_0.1,0.5411337440390508,0.12460439072323139,11.33341549506031,,
uniform,k_values_0.25,0.14392147162611982,0.033930636994162246,1.3478451439566534,,
uniform,box_counts_e0,0.005019629774184435,0.01119051831839231,0.22878009679981573,,
uniform,box_counts_e2,0.008566264069046847,0.012397938268757201,0.2459157150849657,,
