distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
diagonal,hotspots_16_min_val,0.05462799429517817,0.06355104365940342,0.9610536394262561,,
diagonal,hotspots_16_min_x,0.051668360053256916,0.04201292719460167,0.756816868709269,,
diagonal,hotspots_16_min_y,0.05958228509150371,0.04119811063761359,0.8037244430985757,,
diagonal,hotspots_16_max_val,0.016794401958211237,0.025925701422524886,0.34352520573528994,,
diagonal,hotspots_16_max_x,0.04291117690672138,0.04186298936997265,0.7849084696497384,,
diagonal,hotspots_16_max_y,0.04556668056681354,0.04648285028939457,0.8061840384836256,,
diagonal,hotspots_32_min_val,0.05426023401401358,0.058469236594188435,1.0288212723708106,,
diagonal,hotspots_32_min_x,0.05168235346269143,0.03847930886357015,0.8434222421415755,,
diagonal,hotspots_32_min_y,0.05804093247815255,0.03821530494659665,0.7649596666629851,,
diagonal,hotspots_32_max_val,0.016649788103973606,0.022180167127109667,0.3465609761374447,,
diagonal,hotspots_32_max_x,0.04255657966237329,0.043604019603397305,0.7491292337452036,,
diagonal,hotspots_32_max_y,0.04573123112195814,0.045442213540374275,0.8203262517842499,,
diagonal,hotspots_64_min_val,0.05355459660912448,0.061549831279031464,0.9991250453847226,,
diagonal,hotspots_64_min_x,0.05037235540945708,0.04062426331969738,0.7983765744662505,,
diagonal,hotspots_64_min_y,0.056950553644334295,0.04741638827838726,0.8198244611465979,,
diagonal,hotspots_64_max_val,0.016428058054461448,0.023797437368422745,0.3262653957219816,,
diagonal,hotspots_64_max_x,0.04294665836214758,0.047687130330340353,0.7746840947223359,,
diagonal,hotspots_64_max_y,0.04508635658676873,0.0429338825788146,0.7565714063573264,,
diagonal,k_values_0.025,1.0298006982519503,0.5235485247406252,14.542957154877257,,
diagonal,k_values_0.05,0.40047047840899297,0.1701682743737164,6.35219507909921,,
diagonal,k_values_0.1,0.09011822898000175,0.06073687088049775,2.333581085399863,,
diagonal,k_values_0.25,0.17408045205127318,0.02652039685385094,0.5142338694355892,,
diagonal,box_counts_e0,0.009515961472406888,0.01853631341898172,0.3428265416051459,,
diagonal,box_counts_e2,0.03234373031278146,0.011858804211547804,0.3039386201398239,,
