distribution,resnet_wmape,pointnet_wmape,random_wmape
diagonal,0.1059058394107728,0.06595008295344419,1.5780838181792136
gaussian,0.7096362703060263,0.13774001995412674,2.413785384338098
sierpinski,0.12712803821399535,0.11331547648790552,3.0212661843251443
uniform,0.6664285919501866,0.1931515643426549,10.457559227597708
bit,0.3270755294529683,0.18312715447229155,1.385743327755567
parcel,0.23805360011760687,0.4653144782805667,2.7086081688800836
weather,0.43230836160203917,0.33259237326666286,0.8883676245648647
diagonal_large,0.10909294017502354,0.063836185131512,1.4682860404690068
sierpinski_large,0.11769430904535129,0.10754276490723258,2.9406774885712914
gaussian_large,0.580459009892298,0.1243453071490045,2.175633095033916
uniform_large,0.6528783609204483,0.19053834835778904,10.83503566424747
