distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
gaussian,hotspots_16_min_val,0.08946411142370783,0.06492525754681906,0.795926004665651,,
gaussian,hotspots_16_min_x,0.1526850585090527,0.100360311904222,0.7789216824318386,,
gaussian,hotspots_16_min_y,0.13210565273478916,0.09652060943435332,0.6656045539576352,,
gaussian,hotspots_16_max_val,0.042140492854332204,0.027392510525083832,0.33710343598246495,,
gaussian,hotspots_16_max_x,0.12371542285296522,0.07753237045015804,0.7105524155342398,,
gaussian,hotspots_16_max_y,0.18488262247363654,0.09681372304197294,0.6990141881782415,,
gaussian,hotspots_32_min_val,0.08462122887943321,0.05997889445695708,0.8058200508263046,,
gaussian,hotspots_32_min_x,0.16012811360133494,0.10204497089445502,0.7761732626330627,,
gaussian,hotspots_32_min_y,0.12463105784060863,0.09420112820842029,0.7463127597167134,,
gaussian,hotspots_32_max_val,0.032449124062869684,0.031486795111181416,0.37366800712499343,,
gaussian,hotspots_32_max_x,0.12124080231223444,0.07480424061805882,0.5715340097031455,,
gaussian,hotspots_32_max_y,0.16573028934349227,0.0837154277398102,0.8025850912606274,,
gaussian,hotspots_64_min_val,0.08529334585796916,0.058660657704225544,0.8146477239493632,,
gaussian,hotspots_64_min_x,0.1643551949553107,0.10990990617697079,0.6476071647230478,,
gaussian,hotspots_64_min_y,0.11942048129811003,0.08460170009823638,0.6873147195694217,,
gaussian,hotspots_64_max_val,0.02534663337482189,0.03915249391273318,0.3636253429559561,,
gaussian,hotspots_64_max_x,0.11126953857141017,0.07892689755267097,0.5549439673065469,,
gaussian,hotspots_64_max_y,0.1729160700367309,0.10980079498511025,0.7031179052433194,,
gaussian,k_values_0.025,11.368508136321033,1.4004125096546385,35.993132475290984,,
gaussian,k_values_0.05,2.7480091149635046,0.35208008576802124,7.583335159874914,,
gaussian,k_values_0.1,0.308032386745357,0.08335951705251474,1.7342253148439686,,
gaussian,k_values_0.25,0.4787275743189236,0.04469626286136534,0.3940325103733451,,
gaussian,box_counts_e0,0.012876528948272441,0.01489535132474853,0.20523307062266494,,
gaussian,box_counts_e2,0.022721505064733936,0.019488061876314446,0.18641840734590756,,
