distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
sierpinski,hotspots_16_min_val,0.06919109589671726,0.06904629176781255,0.9205162095233314,,
sierpinski,hotspots_16_min_x,0.08683450430726943,0.06451087031666894,0.552698509391798,,
sierpinski,hotspots_16_min_y,0.11005651770415967,0.095729050486139,0.7764309625326652,,
sierpinski,hotspots_16_max_val,0.027648285199850388,0.02620577953261619,0.33450885505081607,,
sierpinski,hotspots_16_max_x,0.09706919561018273,0.06748143313380311,0.671764027660804,,
sierpinski,hotspots_16_max_y,0.15970413519406962,0.09928816868396098,0.8035132556503138,,
sierpinski,hotspots_32_min_val,0.06839661755237145,0.06581355571300171,0.8071616659726094,,
sierpinski,hotspots_32_min_x,0.08427125158176343,0.061103314378393954,0.6351293822343324,,
sierpinski,hotspots_32_min_y,0.11340629780505898,0.1034172648976147,0.7547406572709678,,
sierpinski,hotspots_32_max_val,0.027236565124992316,0.024477899801842697,0.36513705212148423,,
sierpinski,hotspots_32_max_x,0.09844032932284472,0.06257804747531331,0.7020930405218206,,
sierpinski,hotspots_32_max_y,0.15706888676228165,0.09160952137288998,0.6948248206946396,,
sierpinski,hotspots_64_min_val,0.06767150398784966,0.06451900875450706,0.9682489146589968,,
sierpinski,hotspots_64_min_x,0.08124821387202745,0.05512924976076453,0.5880504915818779,,
sierpinski,hotspots_64_min_y,0.11028887261523002,0.08691418076729399,0.8628661101153583,,
sierpinski,hotspots_64_max_val,0.02746469141108099,0.02862533730502982,0.3181516811158633,,
sierpinski,hotspots_64_max_x,0.0962306233311181,0.06317320935477869,0.6427985647145461,,
sierpinski,hotspots_64_max_y,0.15419671415998396,0.09404233275939099,0.6843448595884617,,
sierpinski,k_values_0.025,0.5765649000809573,1.1437464768792742,41.586943485539784,,
sierpinski,k_values_0.05,0.4943484580615649,0.24092547212373916,13.53720286758284,,
sierpinski,k_values_0.1,0.22044770280158565,0.06920254009790183,4.160255248816683,,
sierpinski,k_values_0.25,0.10591677735289988,0.02530656888701631,0.8122961897589297,,
sierpinski,box_counts_e0,0.009893441046980238,0.010215373113592751,0.1846632819821469,,
sierpinski,box_counts_e2,0.007477336353048498,0.006510488346386029,0.146048289722384,,
